ID,Name,Person,Sentence,Time,
0,Introdialogue,Gary Price,*Picks up phone*,2.05,2.35
1,Introdialogue,Chief Gonzales,Good morning Gary. ,0.85,1.15
2,Introdialogue,Gary Price,Hey Chief. How are you?,1.23,1.53
3,Introdialogue,Chief Gonzales,"Oh, I am fine. How are YOU? ",2.18,2.48
4,Introdialogue,Chief Gonzales,Sounds like you’re sober this time around.,2.29,2.59
5,Introdialogue,Chief Gonzales,At least you’re not slurring like last week.,2.23,2.53
6,Introdialogue,Gary Price,"Yeah well, ",1,1
7,Introdialogue,Gary Price,what happened last week was quite unfortunate. ,2.15,2.15
8,Introdialogue,Gary Price,But … at least the party was amazing huh?,1.79,2.09
9,Introdialogue,Chief Gonzales,Very funny Gary. ,1.5,1.18
10,Introdialogue,Chief Gonzales,"Listen,  you know that this case is your last chance to prove yourself?",4.7,4.4
12,Introdialogue,Gary Price,Hmm... Sure.,1.5,1.8
13,Introdialogue,Gary Price,"So, what happened here?",1.5,1.8
15,Introdialogue,Chief Gonzales," A man, Mike Hill,  was found burned to death in his shed. ",3.43,3.73
16,Introdialogue,Chief Gonzales,We want you to take a look at the crime scene.,2.08,2.38
17,Introdialogue,Gary Price,Hmm… Yeah.,0.88,1.18
18,Introdialogue,Chief Gonzales,I know it’s not easy to solve this case in one day. ,2.5,2.7
19,Introdialogue,Chief Gonzales,But you’ve done it before!,1.3,1.5
20,Introdialogue,Chief Gonzales,I believe in you. ,1.17,1.17
21,Introdialogue,Chief Gonzales,"So, don’t disappoint me.",1.7,2
22,Introdialogue,Gary Price,"Yeah, I’ll do my best.",2,2.3
23,Introdialogue,Gary Price,*Hangs up phone*,1.2,1.5
24,Alcoholproblem,Gary Price,*Picks up phone*,1.95,2.35
25,Alcoholproblem,Chief Gonzales," Hello Price, haven’t heard from you in a while.",2.3,2.7
26,Alcoholproblem,Gary Price,"I’ve got everything under control here, alright?",2.2,2.6
27,Alcoholproblem,Chief Gonzales,It seems that you’re having trouble getting on your feet.,2.9,3.3
29,Alcoholproblem,Chief Gonzales,"I stuck my neck out for you, ",1.12,1.52
30,Alcoholproblem,Chief Gonzales,you could at least try.,1.6,2
31,Alcoholproblem,Gary Price,That was a one-time thing Gonzales. ,1.7,2.1
32,Alcoholproblem,Gary Price,Why can’t you just let it go?,1.8,
33,Alcoholproblem,Chief Gonzales,"Because it’s not right, you have responsibilities Price, ",3.45,
34,Alcoholproblem,Chief Gonzales,you can’t come to work drunk and,1.8,
35,Alcoholproblem,Chief Gonzales,expect everything to be okay.,1.8,
36,Alcoholproblem,Gary Price,"Look, I-",1.5,
37,Alcoholproblem,Chief Gonzales,I was supposed to fire you immediately. ,2.4,
38,Alcoholproblem,Chief Gonzales,But I respect you Price. ,2.15,
39,Alcoholproblem,Chief Gonzales,You’re a good officer.,1.7,
40,Alcoholproblem,Chief Gonzales,So please don’t make me regret my decision.,3,
41,Alcoholproblem,Gary Price,"Alright, okay. Just lemme go do my job.",4,
42,Alcoholproblem,Gary Price,*Hangs up phone*,1.6,2
43,Autopsyreport,Gary Price,*Picks up phone*,1.5,2.35
44,Autopsyreport,Gary Price,"Yeah, what’s up darling?",1.7,1.6
45,Autopsyreport,Chief Gonzales,Watch your tongue! ,1.28,1.46
46,Autopsyreport,Chief Gonzales,"You’re on thin ice, Price.",1.59,2.05
47,Autopsyreport,Chief Gonzales,"Anyway, we just got the autopsy report,",3.2,3.2
48,Autopsyreport,Chief Gonzales, are you listening?,1.47,1.37
49,Autopsyreport,Gary Price,"Yeah, go for it.",1.5,1.62
50,Autopsyreport,Chief Gonzales, Hill’s body was doused in gasoline from head to toe.,3.51,4.2
51,Autopsyreport,Chief Gonzales,"We know he was burned alive, ",2,1.77
52,Autopsyreport,Chief Gonzales,because we found carbon monoxide in his lungs.,2.88,2.8
53,Autopsyreport,Chief Gonzales,Forensics identified a wound on his head,2.8,2.86
54,Autopsyreport,Chief Gonzales, which presumably rendered him unconscious.,2.7,3.05
55,Autopsyreport,Gary Price,"Hmm.. Okay, anything else?",2.8,2.98
56,Autopsyreport,Chief Gonzales,Hill had traces of antidepressant medication in his system.,3.7,3.63
57,Autopsyreport,Gary Price,"Alright, that's good to know. And what was the last thing he consumed?",3,4.15
58,Autopsyreport,Chief Gonzales,"Nothing special, lasagna and coffee.",3.02,3.2
59,Autopsyreport,Gary Price,"Interesting. Well, I better get going, ",3,2.9
60,Autopsyreport,Gary Price,solving crimes and stuff.,1.7,1.57
61,Autopsyreport,Chief Gonzales,I would hope so.,1.8,1.03
62,Autopsyreport,Gary Price,*Hangs up phone*,1.2,2
63,Gasoline Can,Gary Price,A gasoline can… And it’s almost empty.,1.7,2
64,Liberty Cap,Gary Price,Hm. Some mushrooms.,1.7,2
65,Axe,Gary Price,It’s a sharp axe.,1.7,2
66,Binoculars,Gary Price,I wonder... what did he observe with those?,1.7,2
67,Logbook,Gary Price,Hm. Mike wrote down everything he'd observed.,1.7,2
68,Matches,Gary Price,Hm... Why is a match box lying here?,1.7,2
69,Newspaper,Gary Price,It seems that someone has forgotten today’s newspaper here.,1.7,2
70,Millikan Way,Gary Price,Millikan Way… more like I really-can’t go that way.,1.7,2
71,Tualatin Hills,Gary Price,Tualatin Hills. That’s the crime scene Chief Gonzales mentioned earlier this morning.,1.7,2
72,Fog,Gary Price,"Wow, so much fog, I can barely see anything.",1.7,2
73,Watchtower,Gary Price,"Now, the watchtower in Firewatch, that was bigger.",1.7,2
74,Endwall,Gary Price,"Man, I’m really getting lost here. I better return to the path. ",1.7,2
75,Sidewall,Gary Price,I really don’t think that there’s anything relevant  hiding out there.,1.7,2
76,Startwall,Gary Price,"Man, I can't go home now. This is my last chance.",1.7,2
77,Antidepressants,Gary Price,I wonder what led the victim to take antidepressants?,1.7,2
78,Vase,Gary Price,"How did this vase break? And why is it still lying here? Now, I hope I don’t waste my time with this.",1.7,2
79,Cytoxan,Gary Price,"Hm.. Cytoxan, isn’t that some kind of chemotherapy pill?",1.7,2
80,Coffee Mugs,Gary Price,I think these coffemugs were just recently used. ,1.7,2
81,Key,Gary Price,"Well, look whatI've found here. A key.",1.7,2
82,Yearbook,Gary Price,This looks like an old high school memory.,1.7,2
83,Action Figure,Gary Price,"An action figure.. yeah, that’s kind of odd.",1.7,2
84,Crumpled Invitation,Gary Price,"Now, why would Mike put this in the  bin?",1.7,2
85,Mysterious Password,Gary Price,"Now, what is this? Some sort of secret password?",1.7,2
86,Business Card,Gary Price,This seems to be the business card of Mike’s therapist.,1.7,2
87,Calendar,Gary Price,"Uhh  Mike, nice one.",1.7,2
88,Map,Gary Price,Yeah this might come in handy later on.,1.7,2
89,Broken Action Figure,Gary Price,"Man, this thing is ancient.",1.7,2
90,Lunchbox,Gary Price,,1.7,2
91,Beer,Gary Price,Hope he won’t mind if I take some,1.7,2
92,Obituary,Gary Price,But.. Why did Mike keep this?,1.7,2
93,Lasagna,Gary Price,Mh… Yummy.,1.7,2
94,Question1,Chief Gonzales,It's Gary. I think I've got the crime solved.,2.4,2.7
