ID,Name,Person,Sentence,Time,
0,Introdialogue,Gary Price,*Coge el teléfono*,2.05,2.35
1,Introdialogue,Chief Gonzales,"Buenos días, Gary.",0.85,1.15
2,Introdialogue,Gary Price,"Hola, jefa. ¿Qué tal?",1.23,1.53
3,Introdialogue,Chief Gonzales,"Estoy bien, ¿qué tal estás TÚ?",2.18,2.48
4,Introdialogue,Chief Gonzales,Parece que estás sobrio esta vez.,2.29,2.59
5,Introdialogue,Chief Gonzales,Al menos no balbuceas como la semana pasada.,2.23,2.53
6,Introdialogue,Gary Price,"Ya bueno,",1,1
7,Introdialogue,Gary Price,Lo que pasó la semana pasada fue bastante lamentable.,2.15,2.15
8,Introdialogue,Gary Price,"Al menos la fiesta estuvo genial, ¿no?",1.79,2.09
9,Introdialogue,Chief Gonzales,"Muy gracioso, Gary.",1.5,1.18
10,Introdialogue,Chief Gonzales,"Oye, ¿sabes que esta es tu última oportunidad para demostrar tu valía?",4.7,4.4
12,Introdialogue,Gary Price,Ya.,1.5,1.8
13,Introdialogue,Gary Price,"Bueno, ¿qué fue lo que pasó?",1.5,1.8
15,Introdialogue,Chief Gonzales,"Encontraron el cuerpo de un hombre, Mike Hill, carbonizado en su cobertizo.",3.43,3.73
16,Introdialogue,Chief Gonzales,Queremos que le eches un vistazo a la escena del crimen.,2.08,2.38
17,Introdialogue,Gary Price,Sí...,0.88,1.18
18,Introdialogue,Chief Gonzales,Sé que no es fácil resolver un caso así en un solo día,2.5,2.7
19,Introdialogue,Chief Gonzales,pero ya lo has hecho antes.,1.3,1.5
20,Introdialogue,Chief Gonzales,Creo en ti.,1.17,1.17
21,Introdialogue,Chief Gonzales,Así que no me decepciones.,1.7,2
22,Introdialogue,Gary Price,Lo haré lo mejor que pueda.,2,2.3
23,Introdialogue,Gary Price,*Cuelga el teléfono*,1.2,1.5
24,Alcoholproblem,Gary Price,*Coge el teléfono*,1.95,2.35
25,Alcoholproblem,Chief Gonzales,"Hola, Price. Hace tiempo que no sé nada de ti.",2.3,2.7
26,Alcoholproblem,Gary Price,"Lo tengo todo bajo control, ¿vale?",2.2,2.6
27,Alcoholproblem,Chief Gonzales,Parece que te está costando centrarte.,2.9,3.3
29,Alcoholproblem,Chief Gonzales,"Me jugué el cuello por ti,",1.12,1.52
30,Alcoholproblem,Chief Gonzales,así que al menos podrías intentarlo.,1.6,2
31,Alcoholproblem,Gary Price,"Fue algo que ocurrió una sola vez, Gonzales.",1.7,2.1
32,Alcoholproblem,Gary Price,¿Por qué no puedes olvidarlo?,1.8,
33,Alcoholproblem,Chief Gonzales,"Porque no está bien. Tienes responsabilidades, Price.",3.45,
34,Alcoholproblem,Chief Gonzales,No puedes ir borracho al trabajo,1.8,
35,Alcoholproblem,Chief Gonzales,y pensar que no va a pasar nada.,1.8,
36,Alcoholproblem,Gary Price,"Mira, yo...",1.5,
37,Alcoholproblem,Chief Gonzales,Tendría que haberte despedido inmediatamente.,2.4,
38,Alcoholproblem,Chief Gonzales,"Pero te respeto, Price.",2.15,
39,Alcoholproblem,Chief Gonzales,Eres un buen agente.,1.7,
40,Alcoholproblem,Chief Gonzales,"Así que, por favor, no hagas que me arrepienta de esto.",3,
41,Alcoholproblem,Gary Price,De acuerdo. Deja que me ponga a trabajar.,4,
42,Alcoholproblem,Gary Price,*Cuelga el teléfono*,1.6,2
43,Autopsyreport,Gary Price,*Coge el teléfono*,1.5,2.35
44,Autopsyreport,Gary Price,"Dime, ¿qué pasa, querida?",1.7,1.6
45,Autopsyreport,Chief Gonzales,¡Cuidado con lo que dices!,1.28,1.46
46,Autopsyreport,Chief Gonzales,"Estás en la cuerda floja, Price.",1.59,2.05
47,Autopsyreport,Chief Gonzales,"En fin, nos acaba de llegar el informe de la autopsia,",3.2,3.2
48,Autopsyreport,Chief Gonzales,¿me estás escuchando?,1.47,1.37
49,Autopsyreport,Gary Price,"Sí, dime.",1.5,1.62
50,Autopsyreport,Chief Gonzales,El cuerpo de Hill fue rociado con gasolina de la cabeza a los pies.,3.51,4.2
51,Autopsyreport,Chief Gonzales,Sabemos que murió quemado vivo,2,1.77
52,Autopsyreport,Chief Gonzales,porque tenía monóxido de carbono en los pulmones.,2.88,2.8
53,Autopsyreport,Chief Gonzales,Los forenses le detectaron una lesión en la cabeza,2.8,2.86
54,Autopsyreport,Chief Gonzales,que probablemente le dejó inconsciente.,2.7,3.05
55,Autopsyreport,Gary Price,"De acuerdo, ¿algo más?",2.8,2.98
56,Autopsyreport,Chief Gonzales,Hill tenía restos de antidepresivos en su organismo.,3.7,3.63
57,Autopsyreport,Gary Price,"Vale, está bien saberlo, ¿y qué fue lo último que comió?",3,4.15
58,Autopsyreport,Chief Gonzales,"Nada del otro mundo, lasaña y café.",3.02,3.2
59,Autopsyreport,Gary Price,"Interesante. Bueno, será mejor que siga",3,2.9
60,Autopsyreport,Gary Price,resolviendo crímenes y eso.,1.7,1.57
61,Autopsyreport,Chief Gonzales,Eso espero.,1.8,1.03
62,Autopsyreport,Gary Price,*Cuelga el teléfono*,1.2,2
63,Gasoline Can,Gary Price,Un bidón de gasolina… está casi vacío.,1.7,2
64,Liberty Cap,Gary Price,Unas setas.,1.7,2
65,Axe,Gary Price,Un hacha afilada.,1.7,2
66,Binoculars,Gary Price,Me pregunto qué habrá visto con ellos...,1.7,2
67,Logbook,Gary Price,Mike anotaba todo lo que veía.,1.7,2
68,Matches,Gary Price,¿Por qué hay una caja de cerillas aquí?,1.7,2
69,Newspaper,Gary Price,Parece que alguien olvidó el periódico de hoy por aquí.,1.7,2
70,Millikan Way,Gary Price,Millikan Way… por ahí sí que no puedo ir.,1.7,2
71,Tualatin Hills,Gary Price,Tualatin Hills. Ese es el lugar de la escena del crimen que la jefa Gonzales mencionó esta mañana. ,1.7,2
72,Fog,Gary Price,"¡Vaya, cuánta niebla! Casi no puedo ver nada.",1.7,2
73,Watchtower,Gary Price,La torre de vigilancia de Firewatch era bastante más grande.,1.7,2
74,Endwall,Gary Price,Por aquí me pierdo. Mejor que vuelva al camino.,1.7,2
75,Sidewall,Gary Price,No creo que haya nada importante escondido por esa zona.,1.7,2
76,Startwall,Gary Price,No puedo volver a casa ahora. Esta es mi última oportunidad.,1.7,2
77,Antidepressants,Gary Price,Me preguntó que habrá pasado para que la víctima tomara antidepresivos.,1.7,2
78,Vase,Gary Price,¿Cómo se habrá roto este jarrón? ¿Y por qué está tirado aquí? Espero no estar perdiendo el tiempo con esto.,1.7,2
79,Cytoxan,Gary Price,"Cytoxan, ¿eso no es un medicamento de quimioterapia?",1.7,2
80,Coffee Mugs,Gary Price,Parece que estas tazas de café se usaron hace poco.,1.7,2
81,Key,Gary Price,Mira lo que he encontrado por aquí. Una llave.,1.7,2
82,Yearbook,Gary Price,Esto parece un viejo anuario de instituto.,1.7,2
83,Action Figure,Gary Price,"Una figura de acción... sí, esto es un poco raro.",1.7,2
84,Crumpled Invitation,Gary Price,¿Por qué tiraría Mike esto a la papelera?,1.7,2
85,Mysterious Password,Gary Price,¿Qué es esto? ¿Una contraseña secreta?,1.7,2
86,Business Card,Gary Price,Parece que es la tarjeta de visita de la terapeuta de Mike.,1.7,2
87,Calendar,Gary Price,"Muy bien, Mike...",1.7,2
88,Map,Gary Price,Esto podría ser útil después.,1.7,2
